voted_up,review,playtime_forever
True,after all the updates this game is in a good state i've played it throughout a majoirty of it's life time and they have made improvements,257.68333333333334
True,"Peak main story, and Peaker DLC
Peak world, gameplay, stealth, guns, builds (borderlands-like)
Peak schizo simulator, if you liked Fight Club this is it
Peak fake band music, it never fades away

Redemption arc must be studied
Could have easily been GOTY if it had launched in this state",113.43333333333334
True,"[h2] I LOVE PANAM [/h2]
10/10 Story
10/10 Gameplay
10/10 Characters
10/10 DLC
9/10 Music
9/10 Open World
10/10 Mod Support

[b] Panam my beloved. [/b]
For real though, the only thing i complained about was the lackluster police AI. They don't do much unless you actively shoot them or a civilian. Dialogue can be cringe at times but I'll let it slide cuz the game is great.",97.28333333333333
True,♥♥♥♥ YEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA CHOOOOOOOOOOOOOOOOOOM,62.333333333333336
True,"It’s not just a game, it’s a neon-lit tragedy about chasing dreams in a city that eats them alive.",13.9
True,Love the story line and gameplay. would highly recomend,142.33333333333334
True,W,31.933333333333334
True,GG,31.316666666666666
False,"I wish I liked it but every other day im dealing with some of the most terrible missions I have ever played in any video game, It's sad since I really enjoy some of the combat but I just cannot stand some of these missions that I spend 40 minutes trying to figure out and giving up and just using a guide, Some may really like the difficulty and adventure of it but I find it annoying and outright absurd.",23.95
True,good,60.833333333333336
True,prolly,61.85
True,good game,92.48333333333333
